Grid ID;No. of charging stations in grid;No. of car parks in grid;pc;diz
337;0;0;0;18200
338;0;0;0;26100
339;0;0;0;0
340;0;0;0;0
341;0;0;0;0
342;0;0;0;21600
343;0;0;0;25600
344;0;0;0;0
345;0;0;0;37333,33333
346;0;0;0;0
347;0;0;0;26600
348;0;0;0;800
349;0;0;0;0
350;0;0;0;0
351;0;0;0;0
352;0;0;0;0
353;0;0;0;0
354;0;0;0;27500
355;0;0;0;0
356;0;0;0;0
357;0;0;0;0
358;0;0;0;0
359;0;0;0;3100
360;0;0;0;0
361;0;0;0;15700
362;0;0;0;0
363;0;0;0;0
364;0;0;0;25700
365;0;0;0;0
366;0;0;0;0
367;0;0;0;24166,66667
368;0;0;0;0
369;0;0;0;12700
370;0;0;0;0
371;0;0;0;0
372;2;0;0;85400
373;3;0;0;41300
374;0;0;0;4900
375;0;0;0;0
376;0;0;0;49500
377;0;0;0;0
378;0;1;35;15700
379;0;0;0;0
380;0;0;0;0
381;0;1;36;21800
382;0;1;17;22250
