fid;left;top;right;bottom;left;top;right;bottom;Final count;Final average;;;;;;;;;;;;;;;;
53;;5;;;;;;;0;0;0;;;;;;;;;;;;;;;
54;751000;1038000;750000;1039000;452424,9442;5558604,107;453416,3627;5557612,743;0;0;0;;;;;;;;;;;;;;;
55;751000;1039000;750000;1040000;452424,9442;5557612,743;453416,3627;5556621,379;0;0;0;;;;;;;;;;;;;;;
56;751000;1040000;750000;1041000;452424,9442;5556621,379;453416,3627;5555630,015;121800;30450;35 100;34 400;35 000;17 300;;;;;;;;;;;;
57;751000;1041000;750000;1042000;452424,9442;5555630,015;453416,3627;5554638,651;0;0;0;;;;;;;;;;;;;;;
58;751000;1042000;750000;1043000;452424,9442;5554638,651;453416,3627;5553647,287;60400;60400;60 400;;;;;;;;;;;;;;;
59;751000;1043000;750000;1044000;452424,9442;5553647,287;453416,3627;5552655,923;79200;39600;55 000;24 200;;;;;;;;;;;;;;
60;751000;1044000;750000;1045000;452424,9442;5552655,923;453416,3627;5551664,559;7700;7700;7 700;;;;;;;;;;;;;;;
61;751000;1045000;750000;1046000;452424,9442;5551664,559;453416,3627;5550673,195;32400;32400;32 400;;;;;;;;;;;;;;;
62;751000;1046000;750000;1047000;452424,9442;5550673,195;453416,3627;5549681,831;32700;32700;32 700;;;;;;;;;;;;;;;
63;751000;1047000;750000;1048000;452424,9442;5549681,831;453416,3627;5548690,467;0;0;0;;;;;;;;;;;;;;;
64;751000;1048000;750000;1049000;452424,9442;5548690,467;453416,3627;5547699,103;43400;43400;43 400;;;;;;;;;;;;;;;
65;751000;1049000;750000;1050000;452424,9442;5547699,103;453416,3627;5546707,739;40600;40600;40 600;;;;;;;;;;;;;;;
66;751000;1050000;750000;1051000;452424,9442;5546707,739;453416,3627;5545716,375;64000;32000;35 300;28 700;;;;;;;;;;;;;;
67;751000;1051000;750000;1052000;452424,9442;5545716,375;453416,3627;5544725,011;83000;83000;83 000;;;;;;;;;;;;;;;
68;751000;1052000;750000;1053000;452424,9442;5544725,011;453416,3627;5543733,647;18000;18000;18 000;;;;;;;;;;;;;;;
69;;6;;;;;;;0;0;0;;;;;;;;;;;;;;;
70;750000;1038000;749000;1039000;453416,3627;5558604,107;454407,7812;5557612,743;0;0;0;;;;;;;;;;;;;;;
71;750000;1039000;749000;1040000;453416,3627;5557612,743;454407,7812;5556621,379;0;0;0;;;;;;;;;;;;;;;
