fid;left;top;right;bottom;car_count_average;Area_of_cell;mixed_use_area_per_cell;final_average;;;;;;;;;;;;;;;;
191;460356.2922;5554638.651;461347.7107;5553647.287;38981,81818;1000000;733100;38981,81818;35500;21400;105900;28300;21300;13100;93500;4600;5100;17700;82400;0;0;0;0;0
192;460356.2922;5553647.287;461347.7107;5552655.923;18277,77778;1000000;860500;18277,77778;13700;45900;12900;18500;5500;10200;13000;15300;29500;0;0;0;0;0;0;0
193;460356.2922;5552655.923;461347.7107;5551664.559;14471,42857;1000000;748300;14471,42857;13900;19100;9500;18800;20300;7400;13700;7100;5000;4100;21700;15600;26700;19700;0;0
194;460356.2922;5551664.559;461347.7107;5550673.195;28075;1000000;723500;28075;11000;29500;55600;16200;0;0;0;0;0;0;0;0;0;0;0;0
195;460356.2922;5550673.195;461347.7107;5549681.831;233,3333333;1000000;722100;233,3333333;300;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0
196;460356.2922;5549681.831;461347.7107;5548690.467;44900;1000000;807000;44900;80400;19200;29100;12700;37600;90400;0;0;0;0;0;0;0;0;0;0
197;460356.2922;5548690.467;461347.7107;5547699.103;26550;1000000;864100;26550;21700;31400;0;0;0;0;0;0;0;0;0;0;0;0;0;0
198;460356.2922;5547699.103;461347.7107;5546707.739;87900;1000000;895400;87900;149100;43700;32100;126700;0;0;0;0;0;0;0;0;0;0;0;0
199;460356.2922;5546707.739;461347.7107;5545716.375;33450;1000000;872400;33450;25900;41000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;460356.2922;5545716.375;461347.7107;5544725.011;10500;1000000;950500;10500;10500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201;460356.2922;5544725.011;461347.7107;5543733.647;15100;1000000;950400;15100;15100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202;460356.2922;5543733.647;461347.7107;5542742.283;0;1000000;843600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203;461347.7107;5560586.834;462339.1292;5559595.47;0;1000000;862400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
204;461347.7107;5559595.47;462339.1292;5558604.107;0;1000000;771300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
205;461347.7107;5558604.107;462339.1292;5557612.743;0;1000000;981200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
206;461347.7107;5557612.743;462339.1292;5556621.379;29100;1000000;961500;29100;29100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207;461347.7107;5556621.379;462339.1292;5555630.015;29833,33333;1000000;726900;29833,33333;56500;19500;13500;0;0;0;0;0;0;0;0;0;0;0;0;0
208;461347.7107;5555630.015;462339.1292;5554638.651;17600;1000000;920900;17600;54600;6500;12100;10700;12900;18300;8100;0;0;0;0;0;0;0;0;0
209;461347.7107;5554638.651;462339.1292;5553647.287;18650;1000000;924600;18650;19800;17500;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210;461347.7107;5553647.287;462339.1292;5552655.923;21060;1000000;921300;21060;13800;13600;33600;25700;18600;0;0;0;0;0;0;0;0;0;0;0
211;461347.7107;5552655.923;462339.1292;5551664.559;18200;1000000;768100;18200;36900;3000;9500;10500;19300;30000;0;0;0;0;0;0;0;0;0;0
212;461347.7107;5551664.559;462339.1292;5550673.195;13250;1000000;817300;13250;6200;11000;12500;16800;16200;16800;0;0;0;0;0;0;0;0;0;0
213;461347.7107;5550673.195;462339.1292;5549681.831;0;1000000;831000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214;461347.7107;5549681.831;462339.1292;5548690.467;26650;1000000;876700;26650;25200;28100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
215;461347.7107;5548690.467;462339.1292;5547699.103;58050;1000000;851800;58050;19800;96300;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;461347.7107;5547699.103;462339.1292;5546707.739;0;1000000;849900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
217;461347.7107;5546707.739;462339.1292;5545716.375;45500;1000000;837200;45500;45500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
218;461347.7107;5545716.375;462339.1292;5544725.011;20100;1000000;727000;20100;20100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219;461347.7107;5544725.011;462339.1292;5543733.647;0;1000000;946400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;461347.7107;5543733.647;462339.1292;5542742.283;27700;1000000;746900;27700;27700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221;462339.1292;5560586.834;463330.5477;5559595.47;29900;1000000;874600;29900;29900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222;462339.1292;5559595.47;463330.5477;5558604.107;0;1000000;815600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
223;462339.1292;5558604.107;463330.5477;5557612.743;31000;1000000;953500;31000;33600;38600;20800;0;0;0;0;0;0;0;0;0;0;0;0;0
224;462339.1292;5557612.743;463330.5477;5556621.379;63150;1000000;720200;63150;116900;9400;0;0;0;0;0;0;0;0;0;0;0;0;0;0
225;462339.1292;5556621.379;463330.5477;5555630.015;26500;1000000;780400;26500;26500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
226;462339.1292;5555630.015;463330.5477;5554638.651;14800;1000000;727500;14800;14800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
227;462339.1292;5554638.651;463330.5477;5553647.287;22950;1000000;910700;22950;12300;33600;0;0;0;0;0;0;0;0;0;0;0;0;0;0
228;462339.1292;5553647.287;463330.5477;5552655.923;30500;1000000;979700;30500;12200;31000;37700;41100;0;0;0;0;0;0;0;0;0;0;0;0
229;462339.1292;5552655.923;463330.5477;5551664.559;20800;1000000;800700;20800;25700;17100;15600;28200;20000;18200;0;0;0;0;0;0;0;0;0;0
230;462339.1292;5551664.559;463330.5477;5550673.195;26683,33333;1000000;729800;26683,33333;31000;8800;38800;17500;20900;43100;0;0;0;0;0;0;0;0;0;0
231;462339.1292;5550673.195;463330.5477;5549681.831;23350;1000000;920500;23350;24600;22100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232;462339.1292;5549681.831;463330.5477;5548690.467;36100;1000000;945500;36100;18700;53500;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233;462339.1292;5548690.467;463330.5477;5547699.103;16150;1000000;721200;16150;2900;29400;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;462339.1292;5547699.103;463330.5477;5546707.739;0;1000000;854200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
235;462339.1292;5546707.739;463330.5477;5545716.375;0;1000000;822000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
236;462339.1292;5545716.375;463330.5477;5544725.011;32900;1000000;713700;32900;32900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
237;462339.1292;5544725.011;463330.5477;5543733.647;35400;1000000;846800;35400;30800;40000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
238;462339.1292;5543733.647;463330.5477;5542742.283;0;1000000;812600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239;463330.5477;5560586.834;464321.9662;5559595.47;0;1000000;788800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240;463330.5477;5559595.47;464321.9662;5558604.107;0;1000000;870400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241;463330.5477;5558604.107;464321.9662;5557612.743;36200;1000000;896800;36200;36200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
242;463330.5477;5557612.743;464321.9662;5556621.379;14400;1000000;868200;14400;14400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
243;463330.5477;5556621.379;464321.9662;5555630.015;36611,11111;1000000;770300;36611,11111;20400;25700;121900;22100;35600;19700;18200;16700;49200;0;0;0;0;0;0;0
244;463330.5477;5555630.015;464321.9662;5554638.651;27400;1000000;938500;27400;29500;31100;21300;27800;21300;31100;10800;35400;38300;0;0;0;0;0;0;0
245;463330.5477;5554638.651;464321.9662;5553647.287;17800;1000000;709500;17800;17800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
246;463330.5477;5553647.287;464321.9662;5552655.923;25700;1000000;962300;25700;38900;12500;0;0;0;0;0;0;0;0;0;0;0;0;0;0
247;463330.5477;5552655.923;464321.9662;5551664.559;23233,33333;1000000;998300;23233,33333;33900;23400;12400;0;0;0;0;0;0;0;0;0;0;0;0;0
248;463330.5477;5551664.559;464321.9662;5550673.195;20000;1000000;753700;20000;13900;12800;24600;28700;0;0;0;0;0;0;0;0;0;0;0;0
249;463330.5477;5550673.195;464321.9662;5549681.831;125500;1000000;882100;125500;125500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;463330.5477;5549681.831;464321.9662;5548690.467;26300;1000000;831100;26300;18500;34100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
251;463330.5477;5548690.467;464321.9662;5547699.103;25575;1000000;775300;25575;7900;1000;34700;58700;0;0;0;0;0;0;0;0;0;0;0;0
252;463330.5477;5547699.103;464321.9662;5546707.739;92600;1000000;858900;92600;190000;124800;20700;34900;0;0;0;0;0;0;0;0;0;0;0;0
253;463330.5477;5546707.739;464321.9662;5545716.375;14700;1000000;968400;14700;14700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
254;463330.5477;5545716.375;464321.9662;5544725.011;44700;1000000;951500;44700;44700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
255;463330.5477;5544725.011;464321.9662;5543733.647;31500;1000000;878900;31500;31500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
256;464321.9662;5560586.834;465313.3847;5559595.47;21700;1000000;967100;21700;21700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
257;464321.9662;5559595.47;465313.3847;5558604.107;42900;1000000;872200;42900;42900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
258;464321.9662;5558604.107;465313.3847;5557612.743;25600;1000000;756600;25600;25600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
259;464321.9662;5557612.743;465313.3847;5556621.379;23233,33333;1000000;874500;23233,33333;23900;8400;37400;0;0;0;0;0;0;0;0;0;0;0;0;0
260;464321.9662;5556621.379;465313.3847;5555630.015;0;1000000;833300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
261;464321.9662;5555630.015;465313.3847;5554638.651;15800;1000000;795500;15800;15500;16100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
262;464321.9662;5554638.651;465313.3847;5553647.287;21333,33333;1000000;942900;21333,33333;7700;40200;16100;0;0;0;0;0;0;0;0;0;0;0;0;0
263;464321.9662;5553647.287;465313.3847;5552655.923;14200;1000000;940400;14200;14200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
264;464321.9662;5552655.923;465313.3847;5551664.559;12950;1000000;803300;12950;10500;15400;0;0;0;0;0;0;0;0;0;0;0;0;0;0
265;464321.9662;5551664.559;465313.3847;5550673.195;19950;1000000;831500;19950;27900;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
266;464321.9662;5550673.195;465313.3847;5549681.831;66360;1000000;805400;66360;136400;23300;23100;23500;125500;0;0;0;0;0;0;0;0;0;0;0
267;464321.9662;5549681.831;465313.3847;5548690.467;19700;1000000;993000;19700;19700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
268;464321.9662;5548690.467;465313.3847;5547699.103;0;1000000;912400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
269;464321.9662;5547699.103;465313.3847;5546707.739;32350;1000000;932900;32350;18100;46600;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270;464321.9662;5546707.739;465313.3847;5545716.375;24750;1000000;828400;24750;34700;14800;0;0;0;0;0;0;0;0;0;0;0;0;0;0
271;464321.9662;5545716.375;465313.3847;5544725.011;82300;1000000;717000;82300;108000;56600;0;0;0;0;0;0;0;0;0;0;0;0;0;0
272;464321.9662;5544725.011;465313.3847;5543733.647;0;1000000;770300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
273;465313.3847;5560586.834;466304.8032;5559595.47;23700;1000000;861800;23700;23700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
274;465313.3847;5559595.47;466304.8032;5558604.107;29800;1000000;979700;29800;29800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
275;465313.3847;5558604.107;466304.8032;5557612.743;0;1000000;939600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
276;465313.3847;5557612.743;466304.8032;5556621.379;16875;1000000;918300;16875;13400;11600;18000;24500;0;0;0;0;0;0;0;0;0;0;0;0
277;465313.3847;5556621.379;466304.8032;5555630.015;16333,33333;1000000;888500;16333,33333;15100;12700;21200;0;0;0;0;0;0;0;0;0;0;0;0;0
278;465313.3847;5555630.015;466304.8032;5554638.651;27050;1000000;878400;27050;40800;13300;0;0;0;0;0;0;0;0;0;0;0;0;0;0
279;465313.3847;5554638.651;466304.8032;5553647.287;43900;1000000;718000;43900;44000;43800;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280;465313.3847;5553647.287;466304.8032;5552655.923;19700;1000000;877400;19700;19700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
281;465313.3847;5552655.923;466304.8032;5551664.559;20266,66667;1000000;738400;20266,66667;11700;11900;23100;15400;31800;27700;0;0;0;0;0;0;0;0;0;0
282;465313.3847;5551664.559;466304.8032;5550673.195;30700;1000000;965000;30700;14000;27900;50200;0;0;0;0;0;0;0;0;0;0;0;0;0
283;465313.3847;5550673.195;466304.8032;5549681.831;0;1000000;780400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
284;465313.3847;5549681.831;466304.8032;5548690.467;23250;1000000;938400;23250;18000;28500;0;0;0;0;0;0;0;0;0;0;0;0;0;0
285;465313.3847;5548690.467;466304.8032;5547699.103;17600;1000000;869200;17600;15100;20100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
286;465313.3847;5547699.103;466304.8032;5546707.739;0;1000000;942500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
287;465313.3847;5546707.739;466304.8032;5545716.375;13050;1000000;889500;13050;12400;13700;0;0;0;0;0;0;0;0;0;0;0;0;0;0
288;465313.3847;5545716.375;466304.8032;5544725.011;121900;1000000;790700;121900;121900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
289;465313.3847;5544725.011;466304.8032;5543733.647;0;1000000;801500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
290;466304.8032;5560586.834;467296.2217;5559595.47;16700;1000000;891600;16700;16700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
291;466304.8032;5559595.47;467296.2217;5558604.107;0;1000000;709100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
292;466304.8032;5558604.107;467296.2217;5557612.743;83100;1000000;780400;83100;83100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
293;466304.8032;5557612.743;467296.2217;5556621.379;35725;1000000;884600;35725;75900;23000;22800;21200;0;0;0;0;0;0;0;0;0;0;0;0
294;466304.8032;5556621.379;467296.2217;5555630.015;56400;1000000;959700;56400;99800;13000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
295;466304.8032;5555630.015;467296.2217;5554638.651;62700;1000000;815000;62700;62700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
296;466304.8032;5554638.651;467296.2217;5553647.287;27900;1000000;868800;27900;27900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
297;466304.8032;5553647.287;467296.2217;5552655.923;36800;1000000;847900;36800;36800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
298;466304.8032;5552655.923;467296.2217;5551664.559;0;1000000;994900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
299;466304.8032;5551664.559;467296.2217;5550673.195;0;1000000;861800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300;466304.8032;5550673.195;467296.2217;5549681.831;0;1000000;862400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
301;466304.8032;5549681.831;467296.2217;5548690.467;24550;1000000;705000;24550;38000;11100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
302;466304.8032;5548690.467;467296.2217;5547699.103;0;1000000;714800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303;466304.8032;5547699.103;467296.2217;5546707.739;29000;1000000;994800;29000;29000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
304;466304.8032;5546707.739;467296.2217;5545716.375;24600;1000000;999200;24600;24600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
305;466304.8032;5545716.375;467296.2217;5544725.011;4400;1000000;916900;4400;4400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
306;467296.2217;5560586.834;468287.6402;5559595.47;20300;1000000;900300;20300;20300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
307;467296.2217;5559595.47;468287.6402;5558604.107;2600;1000000;939900;2600;2600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
308;467296.2217;5558604.107;468287.6402;5557612.743;20300;1000000;980700;20300;20300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
309;467296.2217;5557612.743;468287.6402;5556621.379;0;1000000;734400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310;467296.2217;5556621.379;468287.6402;5555630.015;0;1000000;989200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
311;467296.2217;5555630.015;468287.6402;5554638.651;63600;1000000;720100;63600;62700;94600;33500;0;0;0;0;0;0;0;0;0;0;0;0;0
312;467296.2217;5554638.651;468287.6402;5553647.287;42500;1000000;920900;42500;28200;29300;70000;0;0;0;0;0;0;0;0;0;0;0;0;0
313;467296.2217;5553647.287;468287.6402;5552655.923;43266,66667;1000000;718500;43266,66667;46600;31300;51900;0;0;0;0;0;0;0;0;0;0;0;0;0
314;467296.2217;5552655.923;468287.6402;5551664.559;33550;1000000;944500;33550;50000;17100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
315;467296.2217;5551664.559;468287.6402;5550673.195;23600;1000000;910300;23600;18800;35200;16800;0;0;0;0;0;0;0;0;0;0;0;0;0
316;467296.2217;5550673.195;468287.6402;5549681.831;39400;1000000;849600;39400;66200;12600;0;0;0;0;0;0;0;0;0;0;0;0;0;0
317;467296.2217;5549681.831;468287.6402;5548690.467;0;1000000;862600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
318;467296.2217;5548690.467;468287.6402;5547699.103;36200;1000000;830600;36200;36200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
319;467296.2217;5547699.103;468287.6402;5546707.739;0;1000000;994400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
320;467296.2217;5546707.739;468287.6402;5545716.375;18400;1000000;916300;18400;15400;21400;0;0;0;0;0;0;0;0;0;0;0;0;0;0
321;467296.2217;5545716.375;468287.6402;5544725.011;0;1000000;947400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
322;468287.6402;5560586.834;469279.0587;5559595.47;0;1000000;819700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
323;468287.6402;5559595.47;469279.0587;5558604.107;12400;1000000;718200;12400;17900;7900;11400;0;0;0;0;0;0;0;0;0;0;0;0;0
324;468287.6402;5558604.107;469279.0587;5557612.743;117600;1000000;878800;117600;117600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
325;468287.6402;5557612.743;469279.0587;5556621.379;63250;1000000;745600;63250;104400;22100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
326;468287.6402;5556621.379;469279.0587;5555630.015;0;1000000;880700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
327;468287.6402;5555630.015;469279.0587;5554638.651;0;1000000;892600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
328;468287.6402;5554638.651;469279.0587;5553647.287;22950;1000000;786900;22950;23300;22600;0;0;0;0;0;0;0;0;0;0;0;0;0;0
329;468287.6402;5553647.287;469279.0587;5552655.923;10900;1000000;715200;10900;10900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
330;468287.6402;5552655.923;469279.0587;5551664.559;22500;1000000;867800;22500;22500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
331;468287.6402;5551664.559;469279.0587;5550673.195;12000;1000000;893700;12000;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
332;468287.6402;5550673.195;469279.0587;5549681.831;0;1000000;815900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
333;468287.6402;5549681.831;469279.0587;5548690.467;17750;1000000;996300;17750;28300;7200;0;0;0;0;0;0;0;0;0;0;0;0;0;0
334;468287.6402;5548690.467;469279.0587;5547699.103;20700;1000000;846000;20700;13200;19400;29500;0;0;0;0;0;0;0;0;0;0;0;0;0
335;468287.6402;5547699.103;469279.0587;5546707.739;0;1000000;711100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
336;468287.6402;5546707.739;469279.0587;5545716.375;18200;1000000;931300;18200;18200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
337;468287.6402;5545716.375;469279.0587;5544725.011;26100;1000000;826900;26100;26100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
338;469279.0587;5560586.834;470270.4772;5559595.47;0;1000000;720900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
339;469279.0587;5559595.47;470270.4772;5558604.107;0;1000000;789700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
340;469279.0587;5558604.107;470270.4772;5557612.743;0;1000000;925800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
341;469279.0587;5557612.743;470270.4772;5556621.379;21600;1000000;990100;21600;21600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
342;469279.0587;5556621.379;470270.4772;5555630.015;25600;1000000;701600;25600;25600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
343;469279.0587;5555630.015;470270.4772;5554638.651;0;1000000;767300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
344;469279.0587;5554638.651;470270.4772;5553647.287;37333,33333;1000000;882400;37333,33333;50200;47200;14600;0;0;0;0;0;0;0;0;0;0;0;0;0
345;469279.0587;5553647.287;470270.4772;5552655.923;0;1000000;930200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
346;469279.0587;5552655.923;470270.4772;5551664.559;26600;1000000;846700;26600;26600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
347;469279.0587;5551664.559;470270.4772;5550673.195;800;1000000;750800;800;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
348;469279.0587;5550673.195;470270.4772;5549681.831;0;1000000;953100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
349;469279.0587;5549681.831;470270.4772;5548690.467;0;1000000;730700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
350;469279.0587;5548690.467;470270.4772;5547699.103;0;1000000;748600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
351;469279.0587;5547699.103;470270.4772;5546707.739;0;1000000;996700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
352;469279.0587;5546707.739;470270.4772;5545716.375;0;1000000;745600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
353;469279.0587;5545716.375;470270.4772;5544725.011;27500;1000000;850500;27500;27500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
354;470270.4772;5560586.834;471261.8957;5559595.47;0;1000000;790500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
355;470270.4772;5559595.47;471261.8957;5558604.107;0;1000000;729800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
356;470270.4772;5558604.107;471261.8957;5557612.743;0;1000000;786100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
357;470270.4772;5557612.743;471261.8957;5556621.379;0;1000000;807400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
358;470270.4772;5556621.379;471261.8957;5555630.015;3100;1000000;724600;3100;3100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
359;470270.4772;5555630.015;471261.8957;5554638.651;0;1000000;708700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
360;470270.4772;5554638.651;471261.8957;5553647.287;15700;1000000;870500;15700;15700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
361;470270.4772;5553647.287;471261.8957;5552655.923;0;1000000;732300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
362;470270.4772;5552655.923;471261.8957;5551664.559;0;1000000;780000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
363;470270.4772;5551664.559;471261.8957;5550673.195;25700;1000000;944100;25700;25700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
364;470270.4772;5550673.195;471261.8957;5549681.831;0;1000000;782900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
365;470270.4772;5549681.831;471261.8957;5548690.467;0;1000000;740900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
366;470270.4772;5548690.467;471261.8957;5547699.103;24166,66667;1000000;847000;24166,66667;18700;9100;44700;0;0;0;0;0;0;0;0;0;0;0;0;0
367;470270.4772;5547699.103;471261.8957;5546707.739;0;1000000;922900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
368;471261.8957;5559595.47;472253.3142;5558604.107;12700;1000000;937400;12700;12700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
369;471261.8957;5558604.107;472253.3142;5557612.743;0;1000000;791300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
370;471261.8957;5557612.743;472253.3142;5556621.379;0;1000000;747000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
371;471261.8957;5556621.379;472253.3142;5555630.015;85400;1000000;771000;85400;59600;111200;0;0;0;0;0;0;0;0;0;0;0;0;0;0
372;471261.8957;5555630.015;472253.3142;5554638.651;41300;1000000;955200;41300;44100;18200;61600;0;0;0;0;0;0;0;0;0;0;0;0;0
373;471261.8957;5554638.651;472253.3142;5553647.287;4900;1000000;706600;4900;4900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
374;471261.8957;5553647.287;472253.3142;5552655.923;0;1000000;901100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
375;471261.8957;5552655.923;472253.3142;5551664.559;49500;1000000;907400;49500;49500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
376;471261.8957;5551664.559;472253.3142;5550673.195;0;1000000;997600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
377;471261.8957;5550673.195;472253.3142;5549681.831;15700;1000000;852200;15700;15700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
378;471261.8957;5549681.831;472253.3142;5548690.467;0;1000000;712200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
379;471261.8957;5548690.467;472253.3142;5547699.103;0;1000000;795900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
380;471261.8957;5548690.467;472253.3142;5547699.103;0;1000000;915200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
381;471261.8957;5547699.103;472253.3142;5546707.739;21800;1000000;958900;21800;21800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
382;471261.8957;5546707.739;472253.3142;5545716.375;22250;1000000;765000;22250;24700;19800;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;
