id;Address;Easting;Northing;carpark_in_grid;Latitude;Longitude;no_of_parking_spots;charging_spots;;;
55;Parkoviště Povltavská Autocentrum;460532.435880833;5551586.49792372;223;50.1152119;14.4479711;254;25;;;
90;Parking Tržnice – Jateční;460292.654205185;5549961.95031284;225;50.1005856;14.4447864;294;29;;;
44;Parkování Karlín;461028.563082184;5549147.75658197;227;50.0933119;14.4551589;130;13;;;
39;PODZEMNÍ GARÁŽE KORUNNÍ 810;461157.151048627;5547142.07625063;228;50.0752822;14.4571603;306;31;;;
45;GARÁŽE FLORENTINUM;459652.744068146;5548649.49018735;228;50.0887389;14.4359778;287;29;;;
11;Písnice;461772.616255181;5539112.24537503;238;50.003105;14.466562;451;45;;;
43;PARKOVIŠTĚ ŽIŽKOVSKÁ VĚŽ;460779.499017203;5547711.23028153;248;50.0803761;14.4518244;81;8;;;
34;NC Eden;461987.057078869;5546271.75832215;249;50.0675086;14.4688444;68;7;;;
8;Ládví;462283.578708204;5552790.73061321;260;50.126156;14.472344;484;48;;;
36;PARKOVACÍ DŮM ŽIŽKOV;462089.783839568;5547995.63141983;265;50.0830189;14.4701089;398;40;;;
40;ATRIUM FLORA;461409.746462885;5547596.28560699;265;50.0793836;14.4606444;125;13;;;
41;LUXEMBOURG PLAZA;461309.243720001;5547555.68244357;265;50.0790119;14.4592439;256;26;;;
38;Weasel parking Praha 3;462192.445522765;5548405.10980379;267;50.0867081;14.4715033;463;46;;;
17;Westfield Chodov;463618.509572327;5542320.43961619;272;50.032074;14.492015;146;15;;;
52;Galerie Harfa;463525.248247944;5550275.30455844;280;50.1036111;14.4899547;378;38;;;
37;Parkoviště Olšanská 6;461914.293722112;5548059.82434659;282;50.083585;14.4676497;117;12;;;
14;Skalka 1;464751.246399187;5546487.81178287;284;50.069622;14.507447;472;47;;;
27;Parkoviště Valentova;464600.60379421;5542347.20192171;288;50.0323739;14.5057247;476;48;;;
28;PARKOVIŠTĚ LEOPOLDOVA;464767.033862565;5542949.42865625;288;50.0378;14.5079931;193;19;;;
10;Opatov;464687.919649554;5541671.94001957;289;50.026306;14.507006;267;27;;;
53;NÁKUPNÍ CENTRUM FÉNIX;464323.231286554;5550882.79801426;297;50.1091231;14.5010561;262;26;;;
33;Parkoviště Squash, Švehlova;465934.988611361;5544668.98300732;303;50.0533331;14.5241494;164;16;;;
7;Letňany;465313.354337693;5552660.31969861;311;50.125168;14.514741;486;49;;;
35;HALOVÉ GARÁŽE LIMUZSKÁ;464782.80960274;5548041.38614773;316;50.0835961;14.507745;64;6;;;
3;Depo Hostivař;465454.355021666;5547236.53468305;318;50.076397;14.517204;298;30;;;
15;Skalka 2;465068.515550549;5546545.10509884;319;50.070156;14.511875;265;27;;;
13;Rajská zahrada;468694.510305178;5550601.52219717;378;50.10684;14.56221;350;35;;;
20;Černý Most 2;470168.270901531;5551012.82643911;381;50.110615;14.582787;359;36;;;
54;CENTRUM ČERNÝ MOST, a,s;470265.247983829;5550751.39017784;382;50.1082686;14.5841636;172;17;;;
2;Běchovice;471197.337996342;5547692.07098833;;50.0808;14.597429;341;34;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
